Gene.symbol	Gene.ID	adj.P.Val	logFC
TIAM1	7074	2.33017964703217e-12	3.44824431761111
ANKRD36BP2///ANKRD36///ANKRD36B	645784///375248///57730	2.57806942834225e-12	-2.545638725
S100A12	6283	2.69050079768332e-12	5.51690073361111
CD1D	912	2.99768377442726e-12	3.07435987461111
RPSAP36///RPSAP19///RPSAP9///RPSAP58///RPSAP15///RPSAP52///RPSA	100128888///730029///653162///388524///220885///204010///3921	4.01735908469586e-12	-1.3725596255
ZBP1	81030	4.05487943334664e-12	1.35669214833333
FAM46C	54855	4.44672666875709e-12	-3.43424889411111
FCAR	2204	4.44672666875709e-12	3.70062255511111
NHSL2	340527	4.468212711091e-12	2.52300885533334
UNG	7374	4.63814314112177e-12	-1.96285554522222
TOP2A	7153	5.05647202296139e-12	-3.97247918261111
IL15	3600	5.5940633404201e-12	2.16117913266667
KMO	8564	5.5940633404201e-12	2.48261402622222
COL24A1	255631	5.5940633404201e-12	-2.41149761855556
C12orf57///C12orf57	113246///113246	5.5940633404201e-12	-1.66378211544445
WEE1	7465	5.86169577205022e-12	-2.86129397355556
HIST1H3I	8354	5.99262385375087e-12	-2.93911208433333
ITM2A	9452	6.07664730444377e-12	-3.80075720372222
TMEM154	201799	6.22085640790794e-12	2.88410021405556
MCM10	55388	7.35979132364175e-12	-2.52802152505556
		8.43325090314926e-12	-3.17178995477778
NPM1	4869	9.2029193922548e-12	-1.79437231016667
NUF2	83540	9.22818631479145e-12	-3.08815678516667
CASP5	838	9.42454057810743e-12	2.27056772755556
KIF11	3832	9.92557009681451e-12	-3.21872442761111
CENPF	1063	1.03672231970618e-11	-3.48458679733333
GIMAP7	168537	1.25315308064769e-11	3.82662645755556
ZNF367	195828	1.41121397151213e-11	-2.02199352138889
MAMDC2	256691	1.44886349316976e-11	-4.32048214183334
NUCKS1	64710	1.50550752288585e-11	-1.48171646338889
LILRA6	79168	1.56009647672595e-11	3.11746409633333
SPTBN1	6711	1.59128678668959e-11	-1.92225105783333
ATAD2	29028	1.59277995871238e-11	-2.12156948366666
MCM4	4173	1.64543625564586e-11	-2.47478789272223
GIMAP4	55303	1.66216092300282e-11	4.04146375516667
ANKRD34B	340120	1.69035804650033e-11	1.73533847338889
PRKCQ	5588	1.69035804650033e-11	-2.72647132333333
CHST15	51363	1.83436283562091e-11	3.05433537633334
PM20D2	135293	1.83436283562091e-11	-2.26758497438889
NLRP12	91662	1.99835892727141e-11	3.41046358322222
F5	2153	2.159382779795e-11	3.61361441933333
ECE1	1889	2.159382779795e-11	2.27894019972222
SIGLEC7	27036	2.159382779795e-11	2.68900607166667
BEST1	7439	2.1597407960781e-11	2.48952390588889
LIN7A	8825	2.33554734193318e-11	3.12821229127778
PDP1	54704	2.4403396189464e-11	1.82829589716667
QPCT	25797	2.50329529623274e-11	3.65767993694444
ISYNA1	51477	2.55130625959076e-11	-2.30652586105556
TSPAN13	27075	2.56592256876261e-11	-3.32920683405556
TFDP2	7029	2.57659006585597e-11	-3.4662966095
ARHGAP27	201176	2.61385968774794e-11	1.46780935183334
FANCD2	2177	2.67546376776025e-11	-2.21640745288889
		2.75502889690024e-11	2.09643877005556
POLQ	10721	2.82391553093698e-11	-2.22807559033333
		2.89144814266491e-11	-1.44571454755556
		2.9110477150876e-11	-1.24826789222222
TSHZ3	57616	2.96616581823215e-11	3.07867751194444
CHAF1B	8208	3.18511104322472e-11	-2.50877163444445
EPB41L3	23136	3.18511104322472e-11	3.65871240816667
CAMSAP2	23271	3.18511104322472e-11	1.94027417494445
STK38	11329	3.43867776538738e-11	1.70925332233333
NPC2	10577	3.43867776538738e-11	1.82775902516667
MAP3K3	4215	3.4900776912232e-11	1.8271116805
BRIP1	83990	3.61768622597037e-11	-3.15714415477778
APOBEC3A_B///APOBEC3A	100913187///200315	4.23766405395954e-11	4.30351251627778
DLEU1	10301	4.23766405395954e-11	-2.54408704377778
ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B	645784///400986///375248///57730	4.28259367634568e-11	-2.31895191411111
SNHG12///SNORA16A///SNORA61///SNORA44///SNHG12	85028///692073///677838///677825///85028	4.45771869042797e-11	-2.43594780777777
RXRA	6256	4.53465067998303e-11	1.90197680194444
HFE	3077	4.54192858038512e-11	1.80325297961111
LILRB3	11025	4.56693157293751e-11	3.54768773194445
LILRA1	11024	4.64340004191342e-11	3.85170557038889
NUCB2	4925	4.65190816504929e-11	-2.40271716711111
LOC254896///TNFRSF10C	254896///8794	4.65190816504929e-11	2.39287565183333
TPCN1	53373	4.86234647814548e-11	1.99498892633334
ADAP1	11033	4.86234647814548e-11	2.155670516
HIST2H4B///HIST2H4A	554313///8370	4.92972221973072e-11	-3.16858176855556
MKI67	4288	4.96900200817061e-11	-3.70498392711111
ATP2A3	489	5.05209107710585e-11	-1.66695726694445
EPDR1	54749	5.50876586516993e-11	-2.70270468861111
MDN1	23195	5.62295504883605e-11	-1.75850125438889
VNN2	8875	5.68503055942451e-11	4.63894034844445
MACF1	23499	6.05084056420727e-11	-1.41082113672222
KCNJ15	3772	6.05084056420727e-11	2.180371939
ADAT2	134637	6.23825773239391e-11	-2.217361567
ITM2C	81618	6.29353331784382e-11	-2.85969330894445
SEPT11	55752	6.39258216727785e-11	-2.40168840561111
CYP1B1-AS1	285154	6.46206170972714e-11	1.30318439388889
KIAA0513	9764	6.56302913580325e-11	2.47079911994445
ULK2	9706	7.01455352703519e-11	1.9016305655
SLC2A5	6518	7.02586531854434e-11	-2.54879562177778
ORC1	4998	7.02586531854434e-11	-2.41735179127778
CLEC7A	64581	7.05249526051092e-11	4.19037325244445
LOC100996333///ADGRA3	100996333///166647	7.17067395495172e-11	-3.7378062085
HSP90AB1	3326	7.55080743890121e-11	-1.85267349922222
NME1-NME2///NME1	654364///4830	7.70245168552567e-11	-2.22758180405556
RRM1	6240	7.70245168552567e-11	-2.0241319685
AKR1C3	8644	8.06228546136492e-11	-3.72285706177778
ADGRA3	166647	8.1362162760152e-11	-2.68298702116667
CAD	790	8.42073460807273e-11	-1.50771264016667
RAD51AP1	10635	8.47229569360942e-11	-2.64949052327778
CENPI	2491	8.62396838381861e-11	-2.38433829477778
MFGE8	4240	9.08048413574303e-11	-1.90423060644444
		9.08048413574303e-11	-1.37745808222222
LILRA6	79168	9.10962819938908e-11	3.55564411438889
FOLR3	2352	9.31571331893879e-11	2.72698097366667
SLC39A8	64116	9.44324473481962e-11	-2.04269955083333
ADAMTS5	11096	9.44324473481962e-11	1.64435790188889
STRBP	55342	1.15855059463664e-10	-2.588300231
RASGRP3	25780	1.1728072917292e-10	-3.86888944688889
STK26	51765	1.20067411102707e-10	-1.50079901111111
		1.20067411102707e-10	3.87807641538889
SNORD44	26806	1.25522611973057e-10	-2.26784100966667
CLMN	79789	1.26935836443764e-10	2.53765230611111
MBD2	8932	1.26935836443764e-10	1.20885580933333
KDELC2	143888	1.32849009420735e-10	-2.43704638661111
CDCA7	83879	1.34194449534891e-10	-3.05667343194445
KCNE1	3753	1.34194449534891e-10	1.86777970194444
KCNK5	8645	1.40548949182033e-10	-2.72992184683333
SIGLEC9	27180	1.4660226146753e-10	2.86934881561111
USP11	8237	1.47944913992371e-10	-1.47101521972222
SMYD3	64754	1.48940306336962e-10	-2.18738534138889
SLC16A6	9120	1.57420727471379e-10	3.54094382294445
MYO18A///TIAF1	399687///9220	1.57883007091038e-10	-1.04110758572222
YES1	7525	1.58333643311206e-10	-3.38189851272222
RHOH	399	1.61057365009032e-10	-2.98104838572222
KCNJ2	3759	1.61782769003615e-10	2.11019812266667
RNF144A	9781	1.72206183567268e-10	-2.31241793644445
FAM151B	167555	1.75044994443045e-10	2.13618982305556
TLR5	7100	1.77032024482326e-10	3.50299645827778
PCNA	5111	1.86173569779036e-10	-2.38893859466667
MSH2	4436	1.87148756462876e-10	-2.53531058711111
CSTA	1475	1.90047959649916e-10	3.26472414716667
SV2A	9900	1.90197555848845e-10	-2.11629460777778
CCNE2	9134	1.94041789125355e-10	-3.1768139845
OCIAD2	132299	2.06462102881862e-10	-2.72201474944444
TARBP1	6894	2.06462102881862e-10	-2.40363549444444
HLTF	6596	2.08504832010563e-10	-2.32631589044444
SERPINA1	5265	2.0872094634854e-10	3.58858197027778
PLK4	10733	2.14708532606048e-10	-2.92810661022222
LOC653653///AP1S2	653653///8905	2.23595638697834e-10	3.05587238783333
ARHGEF11	9826	2.2761638355419e-10	2.38812431438889
MS4A14///MS4A7	84689///58475	2.35283288074947e-10	3.42360735938889
HIST1H2BJ	8970	2.4163441842631e-10	-2.57144108594445
IARS	3376	2.41792771422366e-10	-2.02886061877778
SCCPDH	51097	2.42612685604035e-10	-1.91627283738889
BUB1	699	2.47976259466935e-10	-2.96866920788889
SGSH	6448	2.4866777582338e-10	2.05876041772222
BCKDHB	594	2.53688551569387e-10	-2.08964848472222
ASGR1	432	2.53970496423369e-10	1.48211336983333
TEC	7006	2.53970496423369e-10	-2.44193525727778
GFI1	2672	2.53970496423369e-10	-2.60657232888889
CDH23	64072	2.53970496423369e-10	1.367811793
GAA	2548	2.58611670318379e-10	1.50331846605555
LRRC25	126364	2.59951384292573e-10	2.65636317366667
MCM7	4176	2.6135222404082e-10	-1.9187917595
SEMA4B	10509	2.6135222404082e-10	1.32796642844444
ZNF660	285349	2.63340503093334e-10	-2.32627167105556
C2CD2L	9854	2.96760015777349e-10	1.41666445411111
B4GALT6	9331	2.96794345073777e-10	-2.14161738516667
TBL1X	6907	3.15785093702664e-10	2.05036234955556
HORMAD1	84072	3.23465103051334e-10	2.97019747816667
SMCO4	56935	3.23465103051334e-10	2.85672023522222
ALDH2	217	3.26768045127937e-10	3.39690018572222
ADAM19	8728	3.2681581572243e-10	2.21689278827778
SNORD52	26797	3.7231962059324e-10	-2.71197277811111
MCM3	4172	3.7532326648827e-10	-1.95063511316667
TCIRG1	10312	3.79900434368806e-10	1.39500988088889
HSPD1	3329	3.85646509280978e-10	-1.48318565788889
OVOS///OVOS2	408186///144203	3.87528036552493e-10	-2.84148055344444
MICAL3	57553	4.06733376024306e-10	-1.95756978238889
ZNF507	22847	4.17515108582112e-10	-2.70520930338889
FMO5	2330	4.23407521163293e-10	1.97884518261111
HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	8363///8362///8363///8362	4.29046364639955e-10	-2.33221609444445
DEPDC1B	55789	4.29046364639955e-10	-2.27896371744444
AMPD2	271	4.37204720375384e-10	1.22661741866667
CAMK1	8536	4.41039866720077e-10	2.75188231872222
SUV39H2	79723	4.72738186171941e-10	-2.25209629022222
PFAS	5198	4.73623646121326e-10	-1.32294675711111
HIST1H2BM	8342	4.73838276123823e-10	-4.14459881827778
FPR3	2359	4.78411804167364e-10	2.78716699844444
CD37	951	4.81366790039219e-10	1.32907174166667
CXCL9	4283	4.93506472721201e-10	2.1297710635
HIST1H2BD	3017	4.9849090762349e-10	-2.98830685377778
NET1	10276	5.2257481513601e-10	-2.50641614133334
MELK	9833	5.33850951884218e-10	-2.52353266283333
ZNF385A	25946	5.35569565615889e-10	2.12172373422222
MARC1	64757	5.40925351327403e-10	2.40194509294445
GOLGA8R///GOLGA8O///GOLGA8N	101059918///728047///643699	5.44864976879703e-10	-2.39552818461111
ALDH5A1	7915	5.61038142870255e-10	-1.9639822035
DAGLA	747	5.72059312424052e-10	1.43547257477778
		5.72458817981878e-10	-1.78409149494444
PRSS57	400668	5.88430063077349e-10	-2.63206846394444
ARAP3	64411	5.89914747931442e-10	1.6335838875
DEDD2	162989	5.95140626254218e-10	1.32935229461111
C9orf47///S1PR3	286223///1903	6.0143128904912e-10	2.29094306961111
IFT80	57560	6.02148022653057e-10	-2.44517407327778
BSPRY	54836	6.05942374909469e-10	-1.929152419
B3GALNT1	8706	6.10425242399739e-10	-2.21272978222222
TFEB	7942	6.24037370296423e-10	1.79537866705556
		6.24037370296423e-10	-2.23587020322222
GIMAP1-GIMAP5///GIMAP1	100527949///170575	6.30939726485131e-10	2.71602291411111
BLM	641	6.37102865266866e-10	-2.31323607233333
ATP8B4	79895	6.4876013660224e-10	-2.74199746588889
PPFIBP2	8495	6.52353418230322e-10	2.37463873755556
PHGDH	26227	6.77247277468002e-10	-2.5570953515
FPR2	2358	6.77247277468002e-10	3.66930842005556
CYTL1	54360	6.79287843426862e-10	-2.62615094511111
CXCL10	3627	7.07460040839576e-10	3.50970897511111
SLC38A5	92745	7.23817543218681e-10	-2.58030083405556
		7.31914281125994e-10	-1.59973095338889
THEMIS2	9473	7.63649394234287e-10	2.30870915994445
ARRB2	409	8.13017670807542e-10	1.77026892244444
RAD51	5888	8.21405096925146e-10	-2.20726993772222
ACACA	31	8.21405096925146e-10	-1.37466708533333
GMNN	51053	8.26242216041215e-10	-2.05593821455556
CDT1	81620	8.56416331270066e-10	-1.77451014161111
PLBD1	79887	8.56416331270066e-10	5.03922168005556
GSAP	54103	8.70028109250596e-10	1.87158888638889
ATIC	471	8.9815016648406e-10	-1.8745917785
INPP4B	8821	8.9815016648406e-10	-3.53394173377778
MAST4	375449	9.46474029218188e-10	-1.58540606694445
FGR	2268	9.58710213835311e-10	2.55315801283333
HIST2H2AA4///HIST2H2AB///HIST2H2AC///HIST2H2AA3	723790///317772///8338///8337	9.793496799979e-10	-1.92002957327778
EXT1	2131	9.88239384466517e-10	2.71170270205555
CDC123	8872	9.93083127071981e-10	-1.03766145961111
		1.05882221600088e-09	1.51511784916667
		1.06737100138541e-09	3.09375645094445
TLR8	51311	1.07235477530033e-09	3.73249875894444
PARP1	142	1.07235477530033e-09	-1.68687818833333
CEP128	145508	1.07758782840859e-09	-2.165955326
PLTP	5360	1.12609831928756e-09	-1.89055074672222
OSCAR	126014	1.13456586673045e-09	1.45767862111111
LRRK2	120892	1.13456586673045e-09	4.05775037861111
CD300LF	146722	1.14442848545779e-09	2.00160283705555
NOTCH2	4853	1.15140059712339e-09	1.51616678155555
ATP8B2	57198	1.16606673156982e-09	-2.09311644433333
SIRPB1	10326	1.24848646240973e-09	3.56244821711111
FANCG	2189	1.29146441797746e-09	-1.11908792261111
HIST1H3H	8357	1.34949089092415e-09	-2.84141038905556
ZWINT	11130	1.37322481470301e-09	-2.04116730094444
MYO5C	55930	1.38550862587172e-09	-2.35841515177778
SLC6A12	6539	1.39320221251295e-09	1.51945596144445
OSBPL11	114885	1.42496859786235e-09	2.34699850861111
MINK1	50488	1.44455963223039e-09	1.52957468072222
CTPS2	56474	1.46856574926638e-09	-1.77554788594444
MSI2	124540	1.54560284255043e-09	-2.55516939427778
CDC6	990	1.54560284255043e-09	-3.09148631227778
TCF19	6941	1.54837041741304e-09	-2.14992379861111
CBX7	23492	1.62709609930745e-09	1.09189463661111
TGFBI	7045	1.64863193087808e-09	4.16943660311111
TP53BP1	7158	1.66079763620285e-09	-1.63984565683333
TRIP13	9319	1.69574791779559e-09	-2.31415283955555
EXO1	9156	1.69574791779559e-09	-2.61660418461111
TMEM120A	83862	1.70106918304501e-09	1.33455516016667
TARP	445347	1.71135187557067e-09	-4.85802958872222
		1.71135187557067e-09	2.26176532355556
MAN1C1	57134	1.71144366945287e-09	1.46844024905555
MB21D2	151963	1.73433278955929e-09	2.08400640172222
TMEM220	388335	1.7449266876976e-09	-1.57054358927778
RARA///BCOR	5914///54880	1.8101717120696e-09	1.79332909566667
ACPP	55	1.85666138619439e-09	2.58227954255556
ARHGAP24	83478	1.8865508265748e-09	2.53960511333333
HNRNPAB	3182	2.03097061570249e-09	-1.171986542
SULF2	55959	2.09271054064747e-09	3.51970820961111
SRD5A1	6715	2.17334818508611e-09	1.83737225894445
MPP7	143098	2.18188165603918e-09	2.45039499061111
CCNA2	890	2.2374147511518e-09	-2.8265365225
TMEM156	80008	2.31126934524153e-09	-2.62875730838889
P2RY13	53829	2.35628301991685e-09	3.88772959983333
PTPN7	5778	2.41360369983419e-09	-1.64793394705556
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	2.42714706015203e-09	-3.40021228583333
CCNB2	9133	2.43453910032667e-09	-3.38136723227778
TBC1D8	11138	2.48020042566732e-09	2.21558460466667
SIDT2	51092	2.49813694812554e-09	1.7192726985
GSTCD	79807	2.52409736439144e-09	-1.56517920905556
GNS	2799	2.55546818269173e-09	1.85166914672222
MACC1	346389	2.60100404821294e-09	-3.492428541
TLR7	51284	2.61212281558321e-09	3.6251005305
KDM5B	10765	2.80130093869119e-09	-1.70401326805556
TNFRSF1B	7133	2.82785619969353e-09	2.26074392027778
		2.85750809782182e-09	2.58283813522222
SLC17A9	63910	2.88221301633393e-09	-1.40819718533333
SLC11A1	6556	2.89174832269172e-09	3.50950921394445
NOP58	51602	2.96509989843476e-09	-1.61143183822222
FOLR2	2350	2.97549555823197e-09	2.75136946433333
SUCNR1	56670	3.00788829949999e-09	-2.83947511438889
CCDC149	91050	3.01771883546398e-09	1.90100690155556
CENPK	64105	3.06719238768814e-09	-3.28427861038889
OGFRL1	79627	3.17758431949267e-09	2.46832806416667
FCGR2A	2212	3.31057437831629e-09	4.24298815233334
CD68	968	3.37124671955138e-09	2.45059421744444
MRAS	22808	3.3957459888871e-09	1.64403595083333
PDK4	5166	3.3957459888871e-09	3.60849055361111
BRCA2	675	3.3957459888871e-09	-2.10931429822222
TMED7-TICAM2///TICAM2///TMED7	100302736///353376///51014	3.43866445892737e-09	1.61853024677778
MSH5-SAPCD1///MSH5	100532732///4439	3.4937844881013e-09	-1.46693457605556
WHSC1	7468	3.4937844881013e-09	-1.27049894677778
PITPNC1	26207	3.49687016048106e-09	2.21731813116667
TSEN34	79042	3.50204714838889e-09	1.06377144894445
CCR1	1230	3.51278930813114e-09	3.33923428644445
PTPRJ	5795	3.52564706048928e-09	2.42692749011112
CLSPN///CLSPN	63967///63967	3.54232912412046e-09	-3.00606181122222
HIST1H4C	8364	3.59472520970408e-09	-2.68279670711111
		3.64550142621648e-09	2.71186785233333
TRAF5	7188	3.64625541221707e-09	-2.26754391505555
SPATA5	166378	3.72063091231399e-09	-1.42984463461111
TESPA1	9840	3.73834719001495e-09	-3.43353731238889
TBC1D12	23232	3.73834719001495e-09	2.6848489405
GINS4	84296	4.03002349418764e-09	-1.5631904895
ERMP1	79956	4.06570763920015e-09	-1.95686667916666
CD4	920	4.07552868462805e-09	2.73318017977778
MAP7	9053	4.07552868462805e-09	-2.57744987622222
ANKRD36///ANKRD36B	375248///57730	4.10585460963741e-09	-2.49289020983333
WDR76	79968	4.11734088440671e-09	-2.25284955288889
IGSF6	10261	4.24211850543497e-09	3.79478837811111
PRELID2	153768	4.25461836523929e-09	-2.44614027483333
E2F8	79733	4.26133964781048e-09	-2.31029567038889
DCTPP1	79077	4.26288083441926e-09	-1.60294485261111
TMEM55A	55529	4.267810491918e-09	1.42499818577778
GOLGA8DP///GOLGA8CP///GOLGA8B///GOLGA8A	100132979///729786///440270///23015	4.40971068236098e-09	-2.87513036666667
NAT10	55226	4.42945908642993e-09	-1.409737232
MNS1	55329	4.4596052810436e-09	-2.31990043922222
POLA1	5422	4.53301415947927e-09	-1.82952873022222
MYCL	4610	4.58970173432904e-09	2.42670866011111
SPI1	6688	4.62205730394944e-09	1.44293963366666
SMC2	10592	4.71618489698316e-09	-2.05806187888889
S100A9	6280	4.77563613217722e-09	3.39365322400001
PHOSPHO2-KLHL23///PHOSPHO2///KLHL23	100526832///493911///151230	4.91347335303577e-09	-1.74975547922222
ENOSF1	55556	4.99726562827497e-09	-2.249451496
CMBL	134147	5.02053051249141e-09	-2.47309310116667
VIPR1	7433	5.30932225617842e-09	1.86978749538889
POU2F2	5452	5.31562558357084e-09	1.58225602272222
LRRC75A-AS1	125144	5.49511827901275e-09	-1.42141665255556
SCO2	9997	5.6363176669685e-09	1.52801927033333
MAST3	23031	5.74635741923392e-09	1.39740417388889
DHX57	90957	5.91472908635068e-09	1.29998370883333
GOLM1	51280	6.02035052694902e-09	2.45720539683334
RCBTB2	1102	6.05830705392279e-09	1.96715794577778
ABAT	18	6.06245789191124e-09	1.51361987083333
RRM2	6241	6.37320576250153e-09	-2.90392585344444
ARHGAP31	57514	6.38456178210258e-09	3.12514242488889
XKR8	55113	6.39115914487077e-09	1.65685331066667
LILRB1	10859	6.47576576173051e-09	2.66843906127778
PECR	55825	6.51338074823039e-09	1.93547387405556
NHS	4810	6.56830090663429e-09	1.60245475494445
PLPPR2	64748	6.78537635465687e-09	1.61694840866667
HIST1H2AB	8335	6.87770968385999e-09	-3.42265061894445
RAD54L	8438	7.05652775610903e-09	-1.587548104
SATB1	6304	7.09720328418905e-09	-1.19711381727778
KRT23	25984	7.14798437437498e-09	1.93461993827778
SHTN1	57698	7.14798437437498e-09	3.35259454677778
SNX10	29887	7.19634248486111e-09	2.21802242988889
IPCEF1///CNKSR3	26034///154043	7.3177808420777e-09	2.67010233472222
MICALCL	84953	7.37401390076457e-09	1.52380266355556
